학교,코드 번호,제목,Name,Strategic field,Keywords
University of Toronto,UT-023,AI Robot Control Generation and Simulation System,Peyman Mohajerin Esfahani,"AI, Advanced Robotics & Manufacturing","Advanced Robotics & Manufacturing, Artificial Intelligence, Industrial Robot Control, Systems, AI-Based Robot, Programming, Artificial Intelligence, Applications, Behavior Imitation A, (TIPA: Korea Technology and Information Promotion Agency for SMEs), (max 10 pages), 2"
University of Toronto,UT-024,AI-Enabled Humanoid Robot Demonstration Platform for Smart Manufacturing in AI Factory,Pakpong Chirarattananon,"AI, Advanced Robotics & Manufacturing","Mechanical·Materials, Information & Communication, Robotics/Automation, Machinery, Robotics/Automation, Machinery Software, Software, System Integration"
University of Toronto,UT-025,AI-Enabled Tactile System-on-Chip Integration for Soft Sensor Skins in Humanoids and Wearables,Pakpong Chirarattananon,"Semiconductor/Display, AI, Advanced Robotics & Manufacturing","Electrical·Electronics, Mechanical·Materials, Semiconductor, Devices and Systems, SoC, MEMS Element, Robotics/Automatio, n Machinery, Measurement/Sens, or Technologies for, Automation, (TIPA: Korea Technology and Information Promotion Agency for SMEs), (max 10 pages), 2"
University of Toronto,UT-026,Learning Complex Tasks for Dual Arm Robots from Human Demonstrations,Steven L. Waslander,"Semiconductor/Display, AI, Advanced Robotics & Manufacturing","Mechanical and Materials, Mechanical and Materials, Robot Control and, Intelligence, Technologies, Robotics / Automation, Machinery, Robot, Control, and, Intelligence, Technologies, Robot, Vision, and, Production, Automation"
University of Toronto,UT-027,Experience-Driven Adaptive Planning Framework for Autonomous Mobile Manipulation in Dynamic Environments,Steven L. Waslander,"AI, Advanced Robotics & Manufacturing","Mechanical and Materials, Mechanical and Materials, Robotics / Automation, Machinery, Robot Control and, Intelligence Technologies, Robot, Vision, and, Production, Automation, Robot, Vision, and, Production, Automation"
University of Toronto,UT-028,Aerogel-Based Electrocatalyst Platform for Efficient and Durable Water-Splitting Hydrogen Production,Chul B Park,Hydrogen,"Mechanical · Materials, Energy & Resources, Metal Materials, Energy Materials, New & Renewable Energy, Hydrogen"
University of Toronto,UT-029,Laser-Structured High-Silicon Thick Anode Technology Enabling ≥300 Wh·kg-1 and 5C-Capable Lithium-Ion Drone Batteries,Hani E. Naguib,Secondary Battery,"Electrical / Electronics, Electrical / Electronics, Batteries, Secondary Batteries, Batteries, Battery Materials"
University of Toronto,UT-030,Single-Site Catalyst Platforms for Hydrogen Production via Anion Exchange Membrane Electrolysis,Sunmoon Yu,Hydrogen,"Energy & Resources, Chemicals, New & Renewable Energy, Hydrogen, Chemical Processes, Catalyst Application, Technologies"
University of Toronto,UT-031,Electrolyte and Interface Engineering to Improve Zinc Metal Battery Calendar Life and Resting Stabilityy,Sunmoon Yu,Secondary Battery,"Electrical & Electronics, Mechanical & Materials, Batteries, Secondary Batteries, Metal Materials, Energy Materials, Technologies"
University of Toronto,UT-032,Visuo-Tactile Integration and Dexterous Skill Learning for Collaborative Robots,William Melek and Soo Jeon,Advanced Robotics & Manufacturing,"MechanicalㆍMaterials, MechanicalㆍMaterials, Robotics/Automation, Machinery, Robot Control and, Intelligence, Technologies, Robotics/Automation, Machinery, Robot Vision and, Production Automation, Technologies"
University of Toronto,UT-033,AI-Enabled Autonomous Development of New Thermal Interface Materials (TIMs) for Advanced Semiconductor Packaging,Soo Jeon,Semiconductor/Display,"ElectricalㆍElectronics, Chemicals, Semiconductor Devices, and Systems, Other Electrical and, Electronics Components, Fine chemicals, Precision Chemical, Materials for the, Electronics Industry"
University of Toronto,UT-034,Development of a Next-Generation AI-Agent Driven Enterprise Imaging Platform with Extreme SLM Compression and Multi-Modal Radiogenomics Integration,Seokbum Ko,"Advanced Bio, AI","BioㆍMedical, Information & Communication, Medical Information, & Systems, Other Medical, Information & Systems, Software, Software Solutions, (TIPA: Korea Technology and Information Promotion Agency for SMEs), (max 10 pages), 2"
University of Toronto,UT-035,Development of a Field-Ready Hybrid AI Optimization Platform for Waste Plastic HTL Integrating Real-time Vision Sensing and Global Knowledge Mining,Seokbum Ko,AI,"Knowledge Services, Energy & Resources, R&D / Engineering Services, Production Process, Modeling / Simulation, New & Renewable Energy, Waste-to-Energy"
University of Toronto,UT-036,High-Performance FPGA IP Core Development for KpqC-Based Secure Embedded Devices,Seokbum Ko,Cybersecurity,"Information & Communication, Information & Communication, Information Security, Network System, Security, Software, Embedded Software"
University of Toronto,UT-037,"AI-based Neuromuscular Disorder Management Platform Personalized Pyridostigmine dose optimization with multimodal patient monitoring using voice analysis, PRO, and biometric data",Seokbum Ko,Advanced Bio,BioㆍMedical Therapeutic Devices & Diagnostic Devices Interventional Therapeutic Devices Therapeutic Devices & Diagnostic Devices Intelligent Interpretation Systems
